fecha,temp_media,temp_max,temp_min,humedad,lluvia,estacion
2025-12-08 10:00:00+00:00,13.6,13.8,11.3,83.0,0.0,5783
2025-12-08 10:00:00+00:00,14.5,14.5,11.8,76.0,0.0,5790Y
2025-12-08 11:00:00+00:00,15.5,16.0,13.8,80.0,0.0,5783
2025-12-08 11:00:00+00:00,16.2,16.2,14.7,71.0,0.0,5790Y
2025-12-08 12:00:00+00:00,17.0,17.2,15.5,71.0,0.0,5783
2025-12-08 12:00:00+00:00,18.7,18.7,16.8,67.0,0.0,5790Y
2025-12-08 13:00:00+00:00,17.9,18.1,17.0,68.0,0.0,5783
2025-12-08 13:00:00+00:00,19.9,19.9,19.2,62.0,0.0,5790Y
2025-12-08 14:00:00+00:00,18.4,18.7,17.6,65.0,0.0,5783
2025-12-08 14:00:00+00:00,20.7,20.7,20.2,57.0,0.0,5790Y
2025-12-08 15:00:00+00:00,20.8,20.9,20.6,55.0,0.0,5790Y
2025-12-08 15:00:00+00:00,19.1,19.3,18.5,60.0,0.0,5783
2025-12-08 16:00:00+00:00,20.2,20.7,20.2,56.0,0.0,5790Y
2025-12-08 16:00:00+00:00,19.4,19.6,19.2,58.0,0.0,5783
2025-12-08 17:00:00+00:00,17.4,19.8,17.4,65.0,0.0,5790Y
2025-12-08 17:00:00+00:00,16.3,19.4,16.0,69.0,0.0,5783
2025-12-08 18:00:00+00:00,14.3,16.9,14.3,76.0,0.0,5790Y
2025-12-08 18:00:00+00:00,14.2,15.9,14.1,81.0,0.0,5783
2025-12-08 19:00:00+00:00,12.4,13.9,12.4,82.0,0.0,5790Y
2025-12-08 19:00:00+00:00,13.3,14.7,13.0,85.0,0.0,5783
2025-12-08 20:00:00+00:00,11.3,12.1,11.3,87.0,0.0,5790Y
2025-12-08 20:00:00+00:00,12.5,13.6,12.3,86.0,0.0,5783
2025-12-08 21:00:00+00:00,11.6,12.2,11.4,90.0,0.0,5783
2025-12-08 21:00:00+00:00,10.5,11.1,10.5,89.0,0.0,5790Y
